Data,Średnia temperatura powietrza,Maksymalna temperatura powietrza,Minimalna temperatura powietrza,Minimalna temperatura powietrza przy gruncie,Średnia wilgotność powietrza,Średnia prężność pary wodnej,Średnie zachmurzenie,Średnia prędkość wiatru,Ciśnienie na poziomie morza,Ciśnienie na poziomie stacji,Dobowa suma opadu,Opad - dzień,Opad - noc,Usłonecznienie,Czas trwania opadu deszczu,Czas trwania rosy,Czas trwania burzy
2018-07-11,20.8,26.6,17.4,14.1,65.4,15.9,6.3,2.6,1013.4,1001.0,8.1,1.2,6.9,0.3,7.8,nan,nan
2018-07-12,19.5,24.4,16.7,16.6,75.5,16.7,6.1,1.6,1012.6,1000.2,0.2,0.2,0.0,2.0,5.0,nan,1.1
2018-07-13,18.4,22.8,15.2,14.3,77.1,16.2,6.9,3.1,1012.2,999.7,12.4,2.5,9.9,2.9,3.4,nan,1.4
2018-07-14,18.2,21.5,16.7,16.3,92.1,19.3,7.0,5.3,1011.6,999.1,17.7,12.0,5.7,0.2,11.1,nan,0.8
2018-07-15,17.9,21.6,15.6,15.3,88.8,18.2,6.8,4.5,1012.4,999.9,8.5,8.5,0.0,0.7,8.1,nan,nan
2018-07-16,18.6,23.6,15.4,15.0,90.0,19.5,6.0,3.4,1009.5,997.0,22.1,19.4,2.7,1.2,7.9,nan,nan
2018-07-17,20.8,24.1,18.4,18.0,83.5,20.5,6.1,3.6,1004.8,992.5,0.5,0.0,0.5,2.1,4.0,nan,nan
2018-07-18,22.6,29.7,19.2,18.6,83.5,22.5,6.1,3.3,1005.1,992.9,3.8,2.2,1.6,3.3,3.5,nan,0.9
2018-07-19,21.4,28.3,19.6,19.0,86.0,21.9,6.1,4.9,1008.7,996.3,1.9,1.9,0.0,3.0,1.7,nan,0.7
2018-07-20,22.1,28.2,17.7,17.0,76.6,19.9,5.1,4.1,1010.4,998.1,0.0,0.0,0.0,5.7,0.2,3.5,nan
2018-07-21,22.2,27.0,17.4,15.0,65.3,16.9,2.8,2.4,1011.3,999.0,0.0,0.0,0.0,11.1,nan,10.2,nan
2018-07-22,23.2,28.8,15.7,13.0,59.8,16.1,2.6,1.6,1010.3,998.0,0.0,0.0,0.0,11.6,nan,2.3,nan
2018-07-23,23.7,28.5,17.7,16.1,57.8,16.4,2.9,4.9,1011.5,999.3,0.0,0.0,0.0,13.7,nan,4.3,nan
